rep	segment	limit	cap	play_id
2	s6	2	1	0f95037a-05ad-465a-99a1-d7db2efb2b57
2	s6	2	2	76168e4b-031f-488a-bc2e-3cd8c3412618
2	s6	2	8	363d6beb-7988-4eac-9820-dbeac32c29e4
2	s6	2	16	0643eb9b-ba01-44f4-b15b-d96d5108a8f1
2	s2	0	0	53a88c54-e004-4a8d-8995-cae29558a5fa
2	s2	0	1	d6dee71e-3ffc-4045-9a1d-569d6415118b
2	s2	0	2	d3d69039-7a89-47cc-809a-32f9e8fb7029
2	s2	0	8	1e073a84-5c78-4596-ba44-a766445a28bd
2	s2	0	16	ccd59add-fd00-4400-8d6e-4def3bd16e77
2	s2	16	0	76fd4339-239e-492d-99f9-1fba9be0e96c
2	s2	16	1	a097195a-326f-4f8f-bd9f-e4fb9ff48b18
2	s2	16	2	c9d42aa7-863c-4101-8e58-984cc8e4c32a
2	s2	16	8	899bead3-e6d5-4c2c-8efa-e593da0c39eb
2	s2	16	16	91b928c6-3b15-4753-8785-744a38f10a59
2	s2	8	0	d2ea09e6-da14-4e20-abb9-228842809c37
2	s2	8	1	05da1912-08f3-4b98-9ee5-698f0b0ef17d
2	s2	8	2	71a3608e-0c6f-461b-a6a5-36c547ce0d74
2	s2	8	8	9bfc1d10-7a1d-4c87-8a84-fe1139d061d5
2	s2	8	16	fbbc77b9-aabb-45d9-a12c-7ac0373377c8
2	s2	2	0	7c249902-8218-4b3f-8652-2ec2a364bc42
2	s2	2	1	28cc5c63-3d5c-4d47-823c-7aa52dcc2416
2	s2	2	2	57bc929a-175d-49ba-8f14-d580ecb9d4c7
2	s2	2	8	0d5ee81a-4335-4ce3-8e85-651c1a51f985
2	s2	2	16	15d41969-e6b0-4138-a3e4-34f2d88e4f0d
2	s1	0	0	62c125b7-8f75-4606-ac79-8b49c017716d
2	s1	0	1	a029e924-af8d-499f-bac4-7c2137243e3e
2	s1	0	2	a35d3663-98d7-4165-99f7-68881591f82a
2	s1	0	8	d4bd1b30-8155-43ad-8084-e5d67bf48d60
2	s1	0	16	6efd8fca-d68e-45bd-aa72-bb3f9e17179c
2	s1	16	0	c91b29c7-c0da-48ce-9362-359156364666
2	s1	16	1	aa70f54b-c711-49c7-ade7-261da12b0a3c
2	s1	16	2	c41334b8-a939-4fc2-b84e-162d3b70b73c
2	s1	16	8	3dc7d833-5f01-4282-a494-7b21a18f5b3a
2	s1	16	16	f476c884-1103-46d4-90f3-6f85d50aea03
2	s1	8	0	5a39831f-2ab7-4846-8bbe-feb174cd6014
2	s1	8	1	6718ac69-b5e0-4d12-8da4-ad839c8ce9bb
2	s1	8	2	65ddd8de-5f07-47dc-b13e-e01347af7a6a
2	s1	8	8	1f304f8d-a220-4cce-a985-86c201b556dd
2	s1	8	16	987a57f6-cfec-41f8-b5ad-afa715613700
2	s1	2	0	fa39e53d-1e83-4cca-b64c-6be99976dd39
2	s1	2	1	93aa8c1e-9eca-4464-ba25-c6286f04af13
2	s1	2	2	2032fc79-0ba1-43a6-a3e0-3d038dc95e3f
2	s1	2	8	f753f61c-a123-447e-9a37-b5711808d1e4
2	s1	2	16	33da232d-41e1-4e84-b221-2c2b22f28d47
3	s6	0	0	01380800-5cc9-45df-80cc-ceaff25b46fa
3	s6	0	1	076fc820-724e-4fab-9c79-1a3a27ed52cc
3	s6	0	2	4c6f5b50-1b47-46fa-9cfe-aad2f7834690
3	s6	0	8	37619771-4580-43f1-be9b-1eb438e31905
3	s6	0	16	c18c524e-242c-423b-a270-00f311052bcc
3	s6	16	0	5334fcdf-2a23-4e24-83f2-2acc8cc5328e
3	s6	16	1	699229ae-fb30-4156-b3aa-de267d9940ea
3	s6	16	2	3f10dc32-ab2b-44c3-b32e-71ed154f6844
3	s6	16	8	c2884489-d6d5-4445-8f11-384154531e6c
3	s6	16	16	44b351e4-50c1-4fd9-90fa-1d9c5606ec37
3	s6	8	0	07173c1b-f788-4757-a704-2bcd7cd888e2
3	s6	8	1	c379fbb0-4100-4499-8673-2bf2ca11e6be
3	s6	8	2	d5db28a3-bd74-42ac-9aef-ee6c68095eed
3	s6	8	8	366dfa0c-9217-483d-af7a-82dea3b9a8fc
3	s6	8	16	311a5cdc-64a6-47b4-b09b-3856acff52fe
3	s6	2	0	37e6a74e-3fb7-4908-888e-b79048632f71
3	s6	2	1	0dcf4408-07ad-4e97-8d52-a4d5aee4a285
3	s6	2	2	56c4d7c5-0b26-49bb-9057-e52889f52673
3	s6	2	8	b491b846-86a2-4014-8fa1-a720468998c9
3	s6	2	16	4a86f49e-70cf-4916-ae87-c055823a5fa6
3	s2	0	0	fccb0429-8f86-426f-aa8a-f539ea24301f
3	s2	0	1	a2a22aeb-a453-4cff-8bc4-b71934a1dcd4
3	s2	0	2	3c8eff15-edfd-4e08-96eb-1aeb1f1a1c2b
3	s2	0	8	e7255990-a38b-4752-95a0-2bd95f82acb1
3	s2	0	16	c4b08270-cf31-47fe-b95c-c31e83a681f9
3	s2	16	0	ddb7cf35-ac79-4bc7-94a2-33549670cad2
3	s2	16	1	1be90386-bd83-498b-a724-787892ee7aa0
3	s2	16	2	3c065824-4bfe-4516-8239-1ac66488ea7f
3	s2	16	8	8a624b9a-04b9-4e88-a6e9-51080c86a041
3	s2	16	16	59229308-4827-438a-a16d-39bc62e62e9d
3	s2	8	0	339d9f3b-377c-4606-b980-d468acec40ed
3	s2	8	1	ffa5a9ef-7565-4f9f-8973-f38cb718d87d
3	s2	8	2	ce700917-ab0d-4868-9887-97be0204ec03
3	s2	8	8	9d2f924d-7d52-49b7-aed3-b19a139f4de4
3	s2	8	16	4861fcd4-1477-47e0-b14b-0c3c302e8164
3	s2	2	0	a92e3ae4-dffe-4574-8e28-9254535a407b
3	s2	2	1	bb05c422-d3d4-4f3b-8108-644b22da10e7
3	s2	2	2	a3ed273b-b56d-4f85-a007-8e629a3e901f
3	s2	2	8	f0337284-4c68-47a7-8014-2a08d2e3fd3e
3	s2	2	16	7b969a63-fb94-497d-ae20-04aacd82f581
3	s1	0	0	911b1204-8d1c-4263-b25b-5160bfe110b6
3	s1	0	1	d825489c-f661-4292-856c-d4e8bdd5101a
3	s1	0	2	71b2fb8a-ccf6-4ec3-8a98-bd0e0cf60783
3	s1	0	8	d5166d06-dcdc-4427-995b-e6ed5a15c5d7
3	s1	0	16	f88b1e61-8e51-4a3e-9a91-2d6da12f7bfa
3	s1	16	0	943331e8-3eb0-4a34-b19a-3f1f94b7fe99
3	s1	16	1	01b70fa2-87ad-402f-9c65-93baedc3ec58
3	s1	16	2	ae1c0536-816c-45ec-81aa-c2a80cb0e6fd
3	s1	16	8	9a8907df-ef66-4d03-8867-35f4f71fb5b6
3	s1	16	16	7937960c-821c-4725-a58c-0304949d4d4e
3	s1	8	0	ffd6762c-2f0e-48f9-836f-590e34fc4fc0
3	s1	8	1	864388bb-9aa6-437c-ba37-b03f9402b47b
3	s1	8	2	514a13ab-d330-45f2-891b-845a12982a5b
3	s1	8	8	d86b1d39-c7d7-47a4-9ec8-bcf6780a6b53
3	s1	8	16	08d405b4-901b-45c1-b2c7-22d975668aa9
3	s1	2	0	cf89d910-4ab6-4401-8975-d99a25e0c11f
3	s1	2	1	928b36de-7d01-479e-ac50-1f780528ab95
3	s1	2	2	ef4ff246-70d9-40a5-ac5c-42a28c30c557
3	s1	2	8	4a950f77-dd6c-4a71-b5c2-622fe28de4d6
3	s1	2	16	90a8f539-2087-4147-b42e-9a6fe7a3dd9a
